player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Precious Achiuwa|PF-C|24|TOT|74|1624|14.6|0.545|0.207|0.239|13|20.5|16.7|8.4|1.4|3.9|13.8|15.9|1.2|2.2|3.4|0.102|-1.7|0.3|-1.4|0.2
Bam Adebayo|C|26|MIA|71|2416|19.8|0.576|0.041|0.381|7.4|27.3|17.3|18.9|1.7|2.7|12|24.9|2.9|4.3|7.2|0.144|0.8|1.7|2.4|2.7
Ochai Agbaji|SG|23|TOT|78|1641|7.7|0.497|0.487|0.129|4.9|9.6|7.2|6.6|1.4|2.4|12.3|13.4|-0.5|0.6|0.1|0.002|-3.5|-0.9|-4.4|-1
Santi Aldama|PF|23|MEM|61|1618|13.1|0.539|0.535|0.153|4.7|19.7|11.9|13.3|1.3|3.1|10.2|17.9|0.4|2|2.4|0.07|-0.7|0.4|-0.2|0.7
Nickeil Alexander-Walker|SG|25|MIN|82|1921|10.9|0.578|0.623|0.121|2.2|7.5|4.9|14.5|1.6|1.9|11.8|14.8|1.5|2.8|4.3|0.107|-1.1|1.3|0.2|1.1
Grayson Allen|SG|28|PHO|75|2513|13.8|0.679|0.652|0.216|2.3|10.6|6.6|12.1|1.3|1.6|11.3|14.5|4.7|2.2|6.9|0.132|1.1|0.1|1.3|2
Jarrett Allen|C|25|CLE|77|2442|21.8|0.664|0.007|0.383|11.3|25.8|18.7|13.2|1.1|3|11.2|19.4|6.8|3.9|10.7|0.21|2.1|0.9|3|3.1
Timmy Allen|SF|24|MEM|5|125|0.8|0.272|0.304|0.087|3.4|11.8|7.4|5.4|1.6|0|7.7|8.9|-0.2|0.1|-0.1|-0.041|-10.3|-0.7|-11.1|-0.3
Jose Alvarado|PG|25|NOP|56|1028|12.5|0.54|0.6|0.151|2.7|11|6.9|15.3|2.8|1.4|9.8|17.3|0.6|1.5|2.1|0.097|-1.5|1.5|-0.1|0.5
Kyle Anderson|PF|30|MIN|79|1782|12.7|0.513|0.111|0.316|4|13|8.7|25|2|2.3|15.6|14.5|1.4|3.1|4.5|0.121|-1.6|2.7|1.1|1.4
Giannis Antetokounmpo|PF|29|MIL|73|2567|29.9|0.649|0.091|0.571|8.6|27|17.9|32.7|1.6|2.6|12.7|33|9.5|3.7|13.2|0.246|6.7|2.4|9|7.2
Thanasis Antetokounmpo|PF|31|MIL|34|155|5.5|0.518|0.033|0.067|5.1|4.2|4.6|13.9|2.2|2.2|31.2|12.5|-0.2|0.1|0|-0.01|-6.7|0.3|-6.4|-0.2
Cole Anthony|PG|23|ORL|81|1817|14.6|0.545|0.36|0.286|4.1|16.1|10.1|19.8|1.7|1.9|12.8|23.7|0.9|2.7|3.6|0.096|-0.6|0.7|0.1|1
OG Anunoby|SF|26|TOT|50|1702|12.8|0.595|0.463|0.154|3|10.6|6.8|9|2|1.9|11.6|17.6|1.1|1.5|2.6|0.073|-1|0.5|-0.6|0.6
Ryan Arcidiacono|PG|29|NYK|20|45|-2|0|1|0|0|20|10|10.4|2.2|0|25|7.7|-0.1|0.1|-0.1|-0.089|-11.5|1.9|-9.6|-0.1
Deni Avdija|SF|23|WAS|75|2257|14.9|0.597|0.293|0.34|3.9|22.1|12.8|17.8|1.2|1.3|14.8|20.2|1.7|1.5|3.2|0.068|-0.7|-0.2|-0.9|0.6
Deandre Ayton|C|25|POR|55|1784|18.9|0.587|0.013|0.105|10.4|28.9|19.1|8.8|1.5|2.1|11.2|21.1|1.8|2.1|3.9|0.106|0.5|-0.2|0.3|1
Udoka Azubuike|C|24|PHO|16|113|12.3|0.609|0|0.565|11.6|20|16|3.6|0.4|4.7|12.2|12.6|0.1|0.1|0.2|0.1|-3|-0.1|-3.2|0
Ibou Badji|C|21|POR|22|226|8.1|0.623|0|0.545|9.4|16.3|12.6|7.7|0.7|8|35.5|8|0|0.2|0.2|0.046|-7.7|1.9|-5.8|-0.2
Marvin Bagley III|C|24|TOT|50|1053|19.4|0.629|0.056|0.309|13.1|19.2|16.1|8.1|0.9|2.6|11.3|21|2|0.7|2.7|0.122|1|-1.4|-0.4|0.4
Amari Bailey|PG|19|CHO|10|65|9.7|0.425|0.333|0.292|10.1|5.3|7.8|15.2|2.3|0|12.9|21.1|-0.1|0|-0.1|-0.044|-5.2|-3.1|-8.3|-0.1
Patrick Baldwin Jr.|SF|21|WAS|38|493|9.7|0.502|0.626|0.181|3.6|23.5|13.3|7.6|1.7|2.5|10.2|15.9|-0.3|0.5|0.2|0.019|-4|-0.6|-4.6|-0.3
LaMelo Ball|PG|22|CHO|22|711|20.8|0.561|0.466|0.246|4.4|13.7|8.9|43.1|2.8|0.5|15|34.3|0.6|0.5|1.1|0.074|3.8|-0.5|3.3|1
Mo Bamba|C|25|PHI|57|740|15.4|0.575|0.323|0.253|11.3|24.5|17.8|7.6|1.5|7.4|15.1|15.1|0.6|1.3|2|0.128|-2.3|1.4|-1|0.2
Paolo Banchero|PF|21|ORL|80|2799|17.3|0.546|0.249|0.397|3.4|20|11.6|25.2|1.3|1.6|13|29.7|1.3|4|5.3|0.09|1.3|0|1.3|2.3
Desmond Bane|SG|25|MEM|42|1443|18.5|0.589|0.464|0.207|2.6|11.8|7|29.2|1.5|1.4|11.7|28.5|1.8|1.3|3.1|0.102|3.1|-0.3|2.8|1.7
Dalano Banton|PG|24|TOT|54|1047|13.3|0.504|0.398|0.24|4.2|15.2|9.5|19.4|1.6|1.7|12.2|25.7|-0.4|0.9|0.5|0.024|-0.7|-0.6|-1.3|0.2
Dominick Barlow|PF|20|SAS|33|420|14.6|0.548|0.08|0.372|11.5|17.7|14.5|11.7|1.4|2.8|6.4|14.1|0.7|0.4|1.1|0.126|-1.7|0|-1.7|0
Harrison Barnes|PF|31|SAC|82|2381|11.9|0.611|0.526|0.268|3.1|8.8|5.9|5.6|1.1|0.5|6.6|15.7|3.1|1.5|4.7|0.094|-0.6|-1.2|-1.8|0.1
Scottie Barnes|SG|22|TOR|60|2094|19.5|0.566|0.314|0.266|7.3|18.9|13|26.2|1.7|3.7|13.6|24.8|2.3|2|4.3|0.098|2.9|0.8|3.7|3
RJ Barrett|SG|23|TOT|58|1838|16.4|0.58|0.284|0.331|3.1|16|9.5|16.7|0.8|1.1|11.1|26.5|1.6|1.2|2.9|0.075|0.7|-1.5|-0.8|0.6
Charles Bassey|C|23|SAS|19|205|17.7|0.739|0.025|0.15|12|28.2|20|14.1|1.9|6.9|26|11.9|0.3|0.4|0.7|0.157|-1.8|3.1|1.3|0.2
Emoni Bates|SF|20|CLE|15|133|2.6|0.404|0.673|0.082|0.9|10.9|5.9|10|0.4|1.4|13.6|19.5|-0.4|0.1|-0.3|-0.092|-6.2|-3|-9.2|-0.2
Keita Bates-Diop|SF|28|TOT|53|665|11.5|0.534|0.416|0.253|5.5|12.8|9.3|7.4|1.8|2.9|7.5|13|0.5|0.8|1.3|0.091|-1.5|0.4|-1|0.2
Nicolas Batum|PF|35|TOT|60|1529|10.2|0.603|0.723|0.082|5|13.1|9|10.7|1.5|2.3|13.1|8.6|1.7|1.6|3.3|0.103|-1.3|0.8|-0.4|0.6
Darius Bazley|PF|23|TOT|9|152|13.9|0.68|0.267|0.4|5.8|14.4|10.1|6|1.9|4.1|18.5|11.9|0.2|0.1|0.3|0.084|-0.9|0.5|-0.4|0.1
Bradley Beal|SG|30|PHO|53|1767|16.3|0.607|0.32|0.182|3.6|10.8|7.4|22.5|1.4|1.3|14.2|22.7|2.4|1.5|3.9|0.107|0.9|-0.6|0.4|1.1
Malik Beasley|SG|27|MIL|79|2337|10.3|0.603|0.751|0.048|2|11.4|6.8|6.1|1.2|0.3|6.8|14.6|1.9|1.6|3.5|0.073|-1|-0.8|-1.8|0.1
MarJon Beauchamp|SF|23|MIL|48|608|9.7|0.592|0.452|0.169|4.1|13.6|8.9|6.7|1|1|13.2|14.6|0.2|0.5|0.7|0.056|-2.3|-0.9|-3.2|-0.2
Jules Bernard|SG|24|WAS|19|149|12.7|0.544|0.453|0.141|7|11.8|9.3|15.4|0.9|0.5|10.5|21.5|0|0|0.1|0.026|-0.6|-2.5|-3|0
Dāvis Bertāns|PF|31|TOT|43|674|11.6|0.583|0.855|0.141|1.5|8.8|5.1|7.2|1.9|1.7|6.8|17.4|0.5|0.4|0.9|0.061|-0.8|-0.6|-1.4|0.1
Patrick Beverley|PG|35|TOT|73|1462|11.6|0.539|0.478|0.237|3.7|14.3|9|19|1.4|1.9|13.4|14.3|1.2|1.5|2.7|0.09|-1.5|0.5|-1.1|0.3
Saddiq Bey|SF|24|ATL|63|2062|13.1|0.549|0.514|0.291|8.5|13.4|10.9|6|1.2|0.5|6.4|17|2.8|0.7|3.5|0.081|0.1|-2|-1.8|0.1
Goga Bitadze|C|24|ORL|62|957|17.8|0.629|0.067|0.416|13.3|21.9|17.5|11.7|1.7|7|15.1|13.3|1.8|1.9|3.7|0.186|-0.7|2.8|2.1|1
Onuralp Bitim|SG|24|CHI|23|268|5|0.464|0.524|0.06|2.5|11.1|6.7|6.5|0.6|0.8|10.4|15.8|-0.3|0.1|-0.1|-0.027|-5.4|-2|-7.4|-0.4
Bismack Biyombo|C|31|TOT|40|791|9.9|0.562|0|0.412|8.3|21.1|14.5|9.5|0.7|4.4|21.3|10.7|0.1|1|1.1|0.066|-4.8|1.4|-3.4|-0.3
Anthony Black|PG|20|ORL|69|1164|8.4|0.56|0.381|0.324|3.3|10.8|7|10.6|1.5|1.7|16.6|12.7|0.1|1.5|1.6|0.067|-3.8|0.8|-3|-0.3
Leaky Black|SF|24|CHO|26|284|11.5|0.589|0.385|0.288|3.5|15.9|9.5|11.4|1.4|3.6|9.3|10.1|0.3|0.2|0.5|0.084|-2.6|0.3|-2.4|0
Buddy Boeheim|SF|24|DET|10|84|9.1|0.509|0.862|0.345|3.9|9.5|6.6|4.8|0|1|0|17|0.1|0|0.1|0.047|-0.7|-2.8|-3.5|0
Bogdan Bogdanović|SG|31|ATL|79|2401|14.7|0.569|0.583|0.149|2.3|10.3|6.2|14.9|1.9|1|8.7|22.3|2.8|1.2|3.9|0.079|0.9|-0.7|0.2|1.4
Bojan Bogdanović|SF-PF|34|TOT|57|1478|12.6|0.581|0.49|0.219|1.6|10|5.7|10.3|1|0.3|11.9|24.6|0.3|0.7|1.1|0.034|-0.7|-2.5|-3.2|-0.4
Bol Bol|PF|24|PHO|43|469|18.7|0.7|0.344|0.126|8.1|24.1|16.5|5.3|1|4.7|10.7|16.5|1|0.7|1.6|0.168|1.4|0.8|2.1|0.5
Marques Bolden|C|25|TOT|11|121|16|0.691|0.04|0.16|9|22.8|15.8|4.8|1.2|5.4|10.1|10.9|0.2|0.1|0.3|0.134|-2.1|-0.5|-2.7|0
Devin Booker|PG|27|PHO|68|2447|21.9|0.611|0.32|0.35|2.7|11.1|7.1|31.2|1.2|1|10.6|29.8|7.2|2|9.2|0.181|4|-1|3|3.1
Brandon Boston Jr.|SF|22|LAC|32|345|8.7|0.476|0.323|0.205|6.4|10.4|8.5|5.4|1.6|2.1|12|25.4|-0.6|0.3|-0.3|-0.04|-6.2|-2.7|-9|-0.6
Chris Boucher|PF|31|TOR|50|705|16|0.625|0.433|0.424|9.5|23.1|16.1|4.5|1|3|9.8|17.3|1.2|0.6|1.7|0.119|-0.3|-1.4|-1.7|0.1
James Bouknight|SG|23|CHO|14|81|15.9|0.597|0.732|0.049|1.3|11.4|6.2|12.2|0.6|1.2|4.6|23.9|0.1|0|0.1|0.062|4.4|-2.2|2.2|0.1
Jamaree Bouyea|PG|24|TOT|9|95|1.5|0.375|0.321|0|3.4|19.2|11|15.9|0.5|0|24.3|16.5|-0.3|0.1|-0.3|-0.129|-10.2|-2|-12.3|-0.2
Malaki Branham|PG|20|SAS|75|1594|8.7|0.526|0.427|0.1|1.9|8.2|5|14|0.8|0.4|12.2|19.8|-0.9|0.6|-0.3|-0.008|-3.4|-2.2|-5.6|-1.5
Christian Braun|SG|22|DEN|82|1655|12.1|0.554|0.34|0.277|5.4|14.8|10.2|10.2|1.3|1.8|9.2|15.7|1.5|2|3.4|0.1|-1.7|-0.2|-1.9|0
Mikal Bridges|SF|27|BRK|82|2854|14.9|0.56|0.457|0.245|2.5|12|7.1|16.3|1.4|0.9|10.3|24.3|2.1|2.1|4.2|0.07|0.7|-1|-0.4|1.2
Miles Bridges|SF|25|CHO|69|2581|15.4|0.556|0.372|0.174|3|19.5|11|14.6|1.2|1.2|9.6|24.7|0.7|1.4|2.2|0.04|0.2|-1.3|-1.1|0.6
Oshae Brissett|SF|25|BOS|55|630|12.8|0.53|0.359|0.542|10.9|16.3|13.7|8.7|1.5|1.1|9.5|14.5|0.8|0.9|1.7|0.131|-2|0.2|-1.8|0
Izaiah Brockington|PG|24|NOP|1|3|26.6|0.4|0.2|0|37.6|36.7|37.1|0|0|0|0|72.5|0|0|0|-0.177|-9.2|-8.5|-17.8|0
Malcolm Brogdon|PG|31|POR|39|1121|17|0.56|0.401|0.234|2.6|12.8|7.4|30.9|1.2|0.6|9.9|23|2|0.6|2.6|0.111|2.7|-0.7|2|1.1
Armoni Brooks|PG|25|BRK|10|104|8.3|0.448|0.696|0.043|7.2|11.9|9.5|6.9|0.5|0.9|6|20.8|-0.1|0.1|0|-0.018|-2.2|-3.7|-5.8|-0.1
Dillon Brooks|SF|28|HOU|72|2227|9.4|0.549|0.482|0.191|2.5|9.4|5.9|7.5|1.4|0.4|9.6|17.6|0.6|2.1|2.7|0.058|-3.3|-0.3|-3.6|-0.9
Bruce Brown|PG-SG|27|TOT|67|1866|11.6|0.563|0.282|0.244|3.1|14|8.5|13.2|1.5|0.8|11.8|16.5|1.2|1|2.2|0.058|-2.4|-1|-3.3|-0.6
Charlie Brown Jr.|SG|26|NYK|8|37|-3.2|0.3|0.7|0|3|3|3|0|0|5.1|16.7|14|-0.1|0|-0.1|-0.124|-10.2|-3.4|-13.6|-0.1
Greg Brown III|PF|22|DAL|6|40|10.5|0.501|0.273|0.818|8.2|16.3|12.3|13|0|8.8|21.1|20.3|0|0|0|0|-5|0.6|-4.4|0
Jaylen Brown|SF|27|BOS|70|2343|18.6|0.58|0.326|0.239|4|13.4|8.9|16.6|1.8|1.4|10.7|28.9|2.7|3.2|5.9|0.121|0.9|-0.1|0.7|1.6
Kendall Brown|SG|20|IND|15|63|7.6|0.567|0.133|0.533|5.4|3.6|4.5|9.3|0|0|9.7|13.7|0.1|0|0.1|0.045|-4.2|-2.6|-6.8|-0.1
Kobe Brown|PF|24|LAC|44|394|7.6|0.49|0.533|0.022|5.9|11.6|8.9|8.1|1.5|1.4|9|11.1|0.1|0.3|0.5|0.055|-4|0.2|-3.8|-0.2
Moses Brown|C|24|POR|22|200|14.5|0.477|0|0.477|19.6|29.2|24.1|5.4|1.2|3.2|12.3|19.1|-0.1|0.2|0.2|0.044|-4.1|-2.4|-6.5|-0.2
Troy Brown Jr.|SF|24|TOT|59|827|8.8|0.51|0.624|0.164|3.5|16|9.8|9.7|1.4|0.3|11|14.3|0|0.9|0.8|0.048|-2.8|0.2|-2.6|-0.1
Jalen Brunson|PG|27|NYK|77|2726|23.4|0.592|0.319|0.302|1.8|9.7|5.7|33.5|1.3|0.4|9.1|32.5|8.8|2.4|11.2|0.198|6.3|-0.4|5.8|5.4
Thomas Bryant|C|26|MIA|38|441|19|0.639|0.148|0.315|10.2|26.2|18.1|8.3|1.1|3.5|11|19.3|0.9|0.8|1.6|0.177|-0.6|0.2|-0.4|0.2
Kobe Bufkin|SG|20|ATL|17|196|9.1|0.424|0.435|0.087|3.2|15.6|9.2|19.3|1.7|2.3|9.5|22.4|-0.3|0.1|-0.1|-0.031|-4.3|-0.2|-4.5|-0.1
Reggie Bullock|SF|32|HOU|44|417|7.7|0.582|0.817|0.012|1.5|17.4|9.4|4.6|1.4|1.1|10.8|9.4|0.1|0.5|0.6|0.072|-2.9|0.5|-2.4|0
Alec Burks|SG|32|TOT|66|1212|12.9|0.536|0.58|0.293|2.2|11.8|6.9|10.7|1.1|0.9|7|24.4|0.7|0.7|1.4|0.054|-0.3|-2|-2.3|-0.1
Jared Butler|SG|23|WAS|40|566|14.1|0.579|0.388|0.179|1.7|9.5|5.5|30.9|2.4|1.2|18.7|19.9|0.3|0.3|0.6|0.054|-1.5|-0.5|-2.1|0
Jimmy Butler|PF|34|MIA|60|2042|22|0.626|0.183|0.579|5.8|11.9|8.8|23.1|1.9|0.8|9.3|24|6.4|2.7|9.1|0.214|3.9|0.7|4.6|3.4
Jamal Cain|PF|24|MIA|26|259|11.5|0.544|0.392|0.291|6.5|9.7|8.1|5.6|1.9|1.9|8.2|16.7|0.1|0.3|0.5|0.089|-2.5|0.2|-2.3|0
Kentavious Caldwell-Pope|SG|30|DEN|76|2402|10.7|0.602|0.525|0.193|1.5|6.8|4.2|9.5|2|1.5|10.5|12.9|2.2|2.6|4.8|0.096|-2.1|0.7|-1.4|0.4
Toumani Camara|PF|23|POR|70|1739|10.6|0.547|0.393|0.226|8.4|14|11|7.2|1.9|1.7|14.9|13.8|0.6|1.4|2|0.055|-3.1|0|-3.1|-0.5
Clint Capela|C|29|ATL|73|1883|20.7|0.59|0.002|0.333|18.7|26.5|22.4|6.9|1.1|5.1|9.5|17.3|4.4|1.9|6.3|0.161|1|-1|0.1|1
Jevon Carter|PG|28|CHI|72|1004|8.5|0.485|0.641|0.019|1.2|5.6|3.3|12.9|1.8|1.6|8.9|17.7|-0.5|0.7|0.2|0.009|-3.3|-0.7|-4|-0.5
Wendell Carter Jr.|C|24|ORL|55|1406|15.9|0.623|0.402|0.315|9.3|22.7|15.9|9.9|1.2|1.9|12.3|17.2|2.2|2.1|4.4|0.149|0.5|0.4|0.9|1
D.J. Carton|SG|23|TOR|4|36|9.6|0.539|0.5|0.625|6|6.2|6.1|10.5|1.3|0|8.9|13.3|0|0|0|0.062|-4.2|-1.1|-5.3|0
Alex Caruso|SG|29|CHI|71|2040|14.5|0.613|0.616|0.177|3.3|11.8|7.5|16.4|2.9|3.5|14.9|14.7|2.3|2.6|4.9|0.115|0.2|2.3|2.5|2.3
Colin Castleton|C|23|LAL|16|59|13|0.644|0|0.375|11.9|10.8|11.3|6.8|1.6|0|13.9|15.8|0.1|0|0.2|0.128|-3.9|-1.4|-5.2|0
Malcolm Cazalon|SG|22|DET|1|3|0|NA|NA|NA|0|0|0|0|0|0|NA|0|0|0|0|-0.012|-6|-3.2|-9.1|0
Julian Champagnie|SF|22|SAS|74|1468|10.6|0.57|0.689|0.229|3.1|12.2|7.6|9.3|1.6|2.4|11.4|14.4|0.6|1.3|1.8|0.059|-1.8|-0.1|-1.9|0
Justin Champagnie|SF|22|WAS|15|235|13.6|0.526|0.577|0.192|8.5|15.8|12.1|10.7|2|3.1|10.6|17|0.1|0.2|0.3|0.058|-1.1|-0.8|-1.8|0
Max Christie|SG|20|LAL|67|944|8.4|0.544|0.49|0.191|1.9|14.2|8.4|8|1|1.6|11.8|13.6|-0.1|0.8|0.7|0.036|-3.2|-0.4|-3.6|-0.4
Sidy Cissoko|SF|19|SAS|12|141|12|0.568|0.364|0.455|6.1|10.8|8.4|9.4|2.4|1.8|7|12.7|0.2|0.1|0.3|0.11|-4|1.4|-2.7|0
Brandon Clarke|PF|27|MEM|6|134|18.9|0.548|0.102|0.119|10.2|16.2|13.1|12.2|1.8|4.2|4.6|20.8|0.1|0.2|0.3|0.108|0.7|0.3|1|0.1
Jordan Clarkson|SG|31|UTA|55|1682|12.7|0.521|0.379|0.246|3.2|9|6.2|24.6|1|0.3|13.9|26.1|0.1|0.1|0.2|0.006|-1.3|-3.2|-4.5|-1.1
Nic Claxton|C|24|BRK|71|2116|18.7|0.629|0.009|0.337|9.7|27.3|18.2|10.4|1.1|6.2|12.2|15.6|3.5|3.2|6.7|0.152|-0.3|1.5|1.2|1.7
Noah Clowney|PF|19|BRK|23|370|14.2|0.626|0.355|0.323|7.5|16.7|12|6.9|1.1|3.9|12.4|14.2|0.5|0.4|0.9|0.111|-0.8|0.1|-0.7|0.1
Amir Coffey|SF|26|LAC|70|1460|10|0.604|0.523|0.202|2.3|8.9|5.7|6.8|1.4|0.9|7.9|12.5|1.6|1|2.6|0.084|-1.9|-0.3|-2.2|-0.1
John Collins|PF|26|UTA|68|1901|17.5|0.621|0.311|0.248|9.2|24|16.7|6.1|1|2.9|10.6|20.4|3.1|1.3|4.4|0.11|0.5|-1.4|-0.9|0.5
Zach Collins|C|26|SAS|69|1526|14.3|0.565|0.294|0.263|8.3|18|13.1|18.9|1.1|2.8|16.1|22.7|0.4|1.5|1.8|0.057|-2|-0.1|-2|0
Mike Conley|PG|36|MIN|76|2193|15.8|0.627|0.629|0.174|2|9|5.6|28.4|2|0.7|12.8|16|5|3.3|8.2|0.18|2|1.4|3.4|3
Pat Connaughton|SF|31|MIL|76|1676|9.6|0.574|0.686|0.167|3.4|12|7.8|12|1.1|1|11.6|10.9|1.6|1.2|2.8|0.08|-1.6|0|-1.6|0.2
Bilal Coulibaly|SF|19|WAS|63|1715|8.9|0.543|0.428|0.303|3.4|12.8|8|8.2|1.6|2.3|15.1|14.2|-0.5|0.9|0.4|0.013|-3.6|-0.5|-4.2|-0.9
Ricky Council IV|SG|22|PHI|32|289|18.6|0.604|0.286|0.634|5.3|12.4|8.8|8.2|1.4|0.3|3.4|22.1|0.8|0.3|1|0.173|2.1|-0.8|1.3|0.2
Robert Covington|SF-PF|33|TOT|29|488|13.6|0.58|0.571|0.265|6.9|15.2|11|6.3|3.9|3.4|9.1|10.7|0.6|0.9|1.5|0.145|-1.1|3.2|2.2|0.5
Torrey Craig|SF|33|CHI|53|1049|10.8|0.568|0.61|0.143|7.2|16.1|11.6|7.3|1.4|2.1|10.7|12.5|1|0.9|1.9|0.087|-1.8|-0.2|-2|0
Jae Crowder|PF|33|MIL|50|1156|8.9|0.546|0.615|0.133|3|12.1|7.6|7.2|1.6|0.7|7.4|11.5|0.6|1|1.6|0.065|-2.6|0|-2.6|-0.2
Jalen Crutcher|PG|24|NOP|1|3|-12.6|0|0|0|0|0|0|0|0|0|0|14.5|0|0|0|-0.334|-18.5|-7.8|-26.2|0
Cade Cunningham|PG|22|DET|62|2074|17.1|0.546|0.287|0.235|1.7|12.9|7.2|37.5|1.3|0.9|14.1|30.8|0.7|1|1.8|0.041|2|-1.6|0.3|1.2
Seth Curry|SG|33|TOT|44|616|9.9|0.519|0.529|0.152|3.2|9|6.1|9.7|1.7|0.9|8.8|16.8|0.1|0.4|0.5|0.04|-2.6|-0.6|-3.3|-0.2
Stephen Curry|PG|35|GSW|74|2421|20.6|0.616|0.606|0.224|1.7|12.9|7.4|24.7|1.1|1|11.7|31.3|5.2|2|7.2|0.142|6.3|-1.1|5.2|4.4
Dyson Daniels|PG|20|NOP|61|1358|12|0.529|0.434|0.17|5.1|14.1|9.7|15.4|3.1|1.8|15|12.6|0.7|2.2|2.9|0.103|-1.9|2.5|0.6|0.9
Anthony Davis|C|30|LAL|76|2700|25.8|0.621|0.083|0.402|10.4|28.3|19.8|15.5|1.6|5.7|9.5|26.7|7.2|4.7|11.8|0.21|3.5|1.7|5.1|4.9
Johnny Davis|SG|21|WAS|50|613|6.2|0.462|0.26|0.156|3.1|9.6|6.3|6.6|1.4|1.3|7.3|12.2|-0.3|0.2|-0.1|-0.009|-5.5|-1.1|-6.6|-0.7
JD Davison|SG|21|BOS|8|39|18.8|0.581|0.583|0.333|5.8|21.2|13.8|32.9|1.3|2.3|12.7|17.6|0.1|0.1|0.2|0.228|1.8|1.4|3.3|0.1
Dexter Dennis|SG|24|DAL|4|30|18.3|0.541|0.421|0.158|3.7|29|16.4|23.7|0|2.9|12.9|33.3|0|0|0|0.004|1.7|-0.1|1.7|0
DeMar DeRozan|SF|34|CHI|79|2989|19.7|0.584|0.166|0.452|1.6|11.3|6.4|21.8|1.5|1.5|7.7|25.8|7|2.2|9.2|0.147|2.1|-0.3|1.8|2.8
Moussa Diabaté|C|22|LAC|11|64|24.7|0.576|0|0.737|27.4|15.4|21.2|8.6|3.9|1.4|7.4|18.6|0.2|0.1|0.3|0.25|4|-0.5|3.5|0.1
Mamadi Diakite|PF|27|TOT|6|24|18.6|0.694|0.167|1|4.5|13.8|9.1|13.5|2.1|3.5|10.4|17|0.1|0|0.1|0.168|0.8|2.7|3.5|0
Hamidou Diallo|SG|25|WAS|2|5|33.2|0.5|0|0|41.8|0|21.4|28.9|18.7|0|33.3|25.3|0|0|0|0.204|2.7|16|18.7|0
Gradey Dick|SG|20|TOR|60|1268|8.9|0.546|0.542|0.115|2.3|9.3|5.7|7.4|1.3|0.1|9.7|17.4|-0.1|0.4|0.3|0.01|-3.2|-2.2|-5.4|-1.1
Ousmane Dieng|PF|20|OKC|33|365|10.1|0.54|0.603|0.138|3.2|12|7.8|12.9|1.1|1.3|13.4|16.9|0|0.4|0.4|0.055|-2.3|-0.7|-3|-0.1
Spencer Dinwiddie|PG|30|TOT|76|2152|11.7|0.543|0.575|0.328|1.5|9|5.2|22.7|1.2|0.9|11.1|16.6|2.3|1.3|3.6|0.081|-1.3|-0.6|-1.9|0.1
Donte DiVincenzo|SG|27|NYK|81|2360|16|0.597|0.702|0.114|3|11.2|7.1|13.7|2.3|1.4|9.7|21.3|3.6|3|6.6|0.135|2.5|0.9|3.4|3.2
Luka Dončić|PG|24|DAL|70|2624|28.1|0.617|0.45|0.368|2.5|24.4|13.5|44.3|1.8|1.3|12.8|36|8.5|3.5|12|0.22|8.3|1.7|9.9|8
Luguentz Dort|SF|24|OKC|79|2246|11.1|0.593|0.603|0.236|3.8|10|7|6.3|1.5|1.9|9.3|15.4|2|2.5|4.6|0.097|-1.4|-0.2|-1.6|0.2
Ayo Dosunmu|SG|24|CHI|76|2212|13.4|0.604|0.41|0.146|2.7|8.3|5.5|15.6|1.5|1.7|11.9|17.2|2.6|1.5|4.1|0.089|-0.6|-0.2|-0.8|0.7
Jeff Dowtin|PG|26|PHI|12|142|18.2|0.689|0.528|0.111|2.3|13.5|7.8|26.4|2.4|0.6|11.7|13|0.4|0.2|0.6|0.193|2|1.3|3.3|0.2
Henri Drell|SF|23|CHI|4|30|10.7|0.506|0.6|0.2|3.7|11.4|7.5|18.3|3.3|3.4|15.5|18.8|0|0|0|0.047|-5.1|0.2|-4.9|0
Andre Drummond|C|30|CHI|79|1351|23|0.576|0.006|0.454|21.5|37.4|29.3|4.1|2.7|3.6|12.3|21.3|2.3|2.6|4.9|0.175|0.8|-0.7|0.1|0.7
Chris Duarte|SF|26|SAC|59|719|8.4|0.512|0.605|0.157|4|12.7|8.3|7.8|1.9|1|10.4|14.9|0|0.7|0.7|0.047|-3.5|0.1|-3.4|-0.2
David Duke Jr.|SG|24|SAS|4|51|16.2|0.673|0.333|0.167|4.2|17.1|10.6|14.6|1.9|0|13.4|18.5|0.1|0|0.1|0.119|-0.1|1.4|1.4|0
Kris Dunn|PG|29|UTA|66|1249|12.8|0.546|0.355|0.102|4.4|12.2|8.3|27.1|2.6|2|19.5|13.6|1.1|0.9|2|0.076|-1.5|1.4|-0.1|0.6
Kevin Durant|PF|35|PHO|75|2791|21.2|0.626|0.283|0.295|1.7|17.5|10|22.2|1.2|2.9|13.1|29|5.1|3.2|8.3|0.142|4|0.1|4|4.3
Jalen Duren|C|20|DET|61|1777|18.7|0.653|0.007|0.321|11.8|33|22.2|12.7|0.9|2.3|16.7|18.5|3|1.8|4.8|0.13|-0.2|0.1|-0.1|0.9
