player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Shaedon Sharpe|SG|20|POR|32|1059|11.4|0.524|0.415|0.274|4.2|13.3|8.5|13.8|1.3|1|12.9|22.4|-0.2|0.6|0.5|0.022|-1.9|-0.9|-2.8|-0.2
Ben Sheppard|SG|22|IND|57|814|8.1|0.524|0.681|0.114|2.1|10.3|6.2|7.5|1.9|0.2|5.9|13.2|0.3|0.4|0.8|0.046|-3.3|-0.1|-3.4|-0.3
Pascal Siakam|PF|29|TOT|80|2657|19.7|0.601|0.194|0.312|5.8|18.1|11.9|19.4|1.1|0.8|8.9|25.3|5.4|1.5|6.9|0.124|2.6|-0.7|1.9|2.7
Ben Simmons|PG|27|BRK|15|359|16.3|0.571|0|0.203|9.2|27.6|18.1|33.2|1.7|2.3|25.1|13|0.5|0.5|1|0.133|-0.5|2.9|2.4|0.4
Kobi Simmons|PG|26|TOR|4|67|14.5|0.476|0.381|0|1.6|10.1|5.7|24.2|4.3|2.6|4.5|14|0.1|0.1|0.1|0.098|-2.6|1.6|-1|0
Anfernee Simons|SG|24|POR|46|1582|15.9|0.568|0.484|0.213|1.5|10.9|5.9|27.6|0.7|0.3|12.1|28|1.7|0.5|2.2|0.068|2.7|-2.5|0.2|0.8
Zavier Simpson|PG|26|MEM|7|161|6.3|0.377|0.315|0.074|2.6|11.3|6.8|22.5|2.1|1.7|15.2|17.5|-0.3|0.2|-0.2|-0.046|-6.2|0.3|-5.9|-0.2
Jericho Sims|C|25|NYK|45|585|10.9|0.702|0|0.436|10.7|17.5|14.1|5.4|0.7|3|19.6|6|0.9|0.7|1.5|0.127|-2.4|0.7|-1.8|0
Dmytro Skapintsev|C|25|NYK|2|2|-19.3|0|0|0|0|0|0|0|0|0|0|21.6|0|0|0|-0.483|-16|-9.8|-25.9|0
Jalen Slawson|SF|24|SAC|12|37|6.6|0.667|0.333|0|3|18.6|10.6|6.9|1.3|2.5|25|9.2|0|0|0|0.058|-7.5|1.1|-6.4|0
